id,archivo,linea,clasificacion,motivo,contenido_original
6602,cuentas_anuales.csv,8790,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000110,08-02-2024,compra,,Retiro parcial"
6603,cuentas_anuales.csv,3790,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000110,08-02-2024,compra,,Retiro parcial"
6604,cuentas_anuales.csv,1256,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000105,2024-08-11,deposito,,Compra en tienda"
6605,cuentas_anuales.csv,5006,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000120,2024/04/11,compra,,Ingreso mensual"
6606,cuentas_anuales.csv,7516,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000113,13/12/2024,compra,,Ingreso navideño"
6607,cuentas_anuales.csv,6256,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000105,2024-08-11,deposito,,Compra en tienda"
6608,cuentas_anuales.csv,2516,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000113,13/12/2024,compra,,Ingreso navideño"
6609,cuentas_anuales.csv,6,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"120,2024/04/11,compra,,Ingreso mensual"
6610,cuentas_anuales.csv,8793,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000105,01/09/2024,deposito,,Ingreso mensual"
6611,cuentas_anuales.csv,1271,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000108,2024-09-29,deposito,,Ingreso extra"
6612,cuentas_anuales.csv,3793,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000105,01/09/2024,deposito,,Ingreso mensual"
6613,cuentas_anuales.csv,5053,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000102,2024/11/05,retiro,,Ingreso navideño"
6614,cuentas_anuales.csv,7526,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000102,2024/12/27,retiro,,Compra en tienda"
6615,cuentas_anuales.csv,6271,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000108,2024-09-29,deposito,,Ingreso extra"
6616,cuentas_anuales.csv,2526,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000102,2024/12/27,retiro,,Compra en tienda"
6617,cuentas_anuales.csv,53,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"102,2024/11/05,retiro,,Ingreso navideño"
6618,cuentas_anuales.csv,8842,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000114,2024-05-18,deposito,,Retiro parcial"
6619,cuentas_anuales.csv,3842,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000114,2024-05-18,deposito,,Retiro parcial"
6620,cuentas_anuales.csv,1318,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000119,2024/02/29,compra,,Ingreso mensual"
6621,cuentas_anuales.csv,5070,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000104,2024/07/31,deposito,,Compra en tienda"
6622,cuentas_anuales.csv,7530,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000116,04-04-2024,compra,,Ingreso navideño"
6623,cuentas_anuales.csv,6318,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000119,2024/02/29,compra,,Ingreso mensual"
6624,cuentas_anuales.csv,2530,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000116,04-04-2024,compra,,Ingreso navideño"
6625,cuentas_anuales.csv,8849,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000112,2024/08/11,deposito,,"
6626,cuentas_anuales.csv,70,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"104,2024/07/31,deposito,,Compra en tienda"
6627,cuentas_anuales.csv,3849,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000112,2024/08/11,deposito,,"
6628,cuentas_anuales.csv,5072,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000117,2024-01-12,retiro,,Ingreso extra"
6629,cuentas_anuales.csv,7581,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000105,2024/03/11,retiro,,Ingreso navideño"
6630,cuentas_anuales.csv,2581,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000105,2024/03/11,retiro,,Ingreso navideño"
6631,cuentas_anuales.csv,72,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"117,2024-01-12,retiro,,Ingreso extra"
6632,cuentas_anuales.csv,3851,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000107,2024-02-07,deposito,,Ingreso navideño"
6633,cuentas_anuales.csv,8851,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000107,2024-02-07,deposito,,Ingreso navideño"
6634,cuentas_anuales.csv,5098,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000117,2024-05-18,deposito,,Ingreso mensual"
6635,cuentas_anuales.csv,98,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"117,2024-05-18,deposito,,Ingreso mensual"
6636,cuentas_anuales.csv,2605,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000109,2024-09-03,retiro,,Ingreso navideño"
6637,cuentas_anuales.csv,5127,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000103,2024-07-12,deposito,,"
6638,cuentas_anuales.csv,7605,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000109,2024-09-03,retiro,,Ingreso navideño"
6639,cuentas_anuales.csv,1363,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000105,17/12/2024,retiro,,Retiro parcial"
6640,cuentas_anuales.csv,127,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"103,2024-07-12,deposito,,"
6641,cuentas_anuales.csv,8856,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000118,20/05/2024,retiro,,Ingreso mensual"
6642,cuentas_anuales.csv,6363,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000105,17/12/2024,retiro,,Retiro parcial"
6643,cuentas_anuales.csv,137,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"114,2024/10/16,retiro,,Ingreso mensual"
6644,cuentas_anuales.csv,3856,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000118,20/05/2024,retiro,,Ingreso mensual"
6645,cuentas_anuales.csv,5137,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"5000114,2024/10/16,retiro,,Ingreso mensual"
6646,cuentas_anuales.csv,6371,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000104,2024-07-17,compra,,Retiro parcial"
6647,cuentas_anuales.csv,2613,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000118,11/01/2024,retiro,,"
6648,cuentas_anuales.csv,7613,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000118,11/01/2024,retiro,,"
6649,cuentas_anuales.csv,1371,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000104,2024-07-17,compra,,Retiro parcial"
6650,cuentas_anuales.csv,3867,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000101,01-09-2024,compra,,"
6651,cuentas_anuales.csv,8867,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000101,01-09-2024,compra,,"
6652,cuentas_anuales.csv,2621,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000114,2024/09/16,compra,,Ingreso extra"
6653,cuentas_anuales.csv,6374,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000111,04/05/2024,deposito,,Ingreso navideño"
6654,cuentas_anuales.csv,7621,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"7000114,2024/09/16,compra,,Ingreso extra"
6655,cuentas_anuales.csv,1374,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000111,04/05/2024,deposito,,Ingreso navideño"
6656,cuentas_anuales.csv,3878,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-8],"3000101,27-05-2024,deposito,,Ingreso navideño"
6657,cuentas_anuales.csv,2645,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-4],"2000107,08-05-2024,compra,,Retiro parcial"
6658,cuentas_anuales.csv,8878,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-2],"8000101,27-05-2024,deposito,,Ingreso navideño"
6659,cuentas_anuales.csv,6379,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-3],"6000117,01-11-2024,deposito,,"
6660,cuentas_anuales.csv,1379,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"1000117,01-11-2024,deposito,,"
