id,archivo,linea,clasificacion,motivo,contenido_original
1302,intereses.csv,2,OMITIDO,Edad fuera del rango permitido: '' [hilo=batch-particion-3],"137,Bob Johnson,7000,,prestamo"
1303,transacciones.csv,254,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"253,02-09-2024,,invalid"
1304,transacciones.csv,128,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"127,2024-04-09,700,invalid"
1305,cuentas_anuales.csv,379,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"117,01-11-2024,deposito,,"
1306,cuentas_anuales.csv,127,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"103,2024-07-12,deposito,,"
1307,intereses.csv,752,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-4],"110,Diana Prince,8000,40,-1"
1308,cuentas_anuales.csv,256,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-1],"105,2024-08-11,deposito,,Compra en tienda"
1309,intereses.csv,3,OMITIDO,Tipo fuera del catalogo permitido: '-1' [hilo=batch-particion-3],"114,Unknown,,30,-1"
1310,transacciones.csv,129,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"128,2024-07-26,1500,invalid"
1311,intereses.csv,753,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"137,Jane Smith,8000,100,ahorro"
1312,transacciones.csv,255,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-5],"254,2024/10/26,1200,invalid"
1313,intereses.csv,4,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-3],"133,Alice Brown,12000,100,hipoteca"
1314,transacciones.csv,130,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"129,14-11-2024,700,invalid"
1315,intereses.csv,754,OMITIDO,Edad fuera del rango permitido: 150 (rango permitido 18-99) [hilo=batch-particion-4],"139,Charlie Green,7000,150,prestamo"
1316,intereses.csv,755,OMITIDO,Edad fuera del rango permitido: 100 (rango permitido 18-99) [hilo=batch-particion-4],"132,Charlie Green,5000,100,ahorro"
1317,cuentas_anuales.csv,382,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"120,2024-07-26,retiro,,Ingreso mensual"
1318,cuentas_anuales.csv,137,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-6],"114,2024/10/16,retiro,,Ingreso mensual"
1319,cuentas_anuales.csv,385,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-7],"102,2024/08/30,retiro,,Ingreso navideño"
1320,transacciones.csv,133,OMITIDO,Tipo fuera del catalogo permitido: 'invalid' [hilo=batch-particion-2],"132,2024-12-10,0,invalid"
1321,transacciones.csv,259,OMITIDO,Monto vacio o no numerico: '' [hilo=batch-particion-5],"258,2024/01/06,,credito"
